#{"t_start": 1671669413.721741, "env_id": null}
r,l,t
46506.616276,999,36.053926
44574.669297,999,65.334922
45859.02527,999,100.880953
51269.451185,999,131.623922
37293.843418,999,165.655955
48724.782238,999,197.533957
43338.686317,999,232.373925
49854.877219,999,265.929433
47078.452265,999,300.445433
47675.321253,999,332.320435
50654.249192,999,367.497469
44414.559296,999,399.527432
46075.932279,999,434.993466
47473.654247,999,466.618434
45209.596276,999,501.510435
37624.246392,999,534.928433
45725.459275,999,570.074433
46457.589256,999,602.450465
47607.861249,999,637.451434
51020.137181,999,669.323433
36278.211412,999,703.630434
43626.297293,999,736.797435
50240.895199,999,772.188432
46081.270253,999,804.266465
43177.087301,999,839.360469
36602.03842,999,872.167436
49581.588196,999,906.658435
45947.771268,999,938.271435
38913.848368,999,973.916434
46373.218232,999,1006.186433
43287.085301,999,1040.882433
40675.04934,999,1073.782432
49462.669177,999,1108.858433
45898.629246,999,1141.075464
47289.631216,999,1176.508433
43708.067281,999,1208.505466
55396.260093,999,1244.049459
52869.192122,999,1277.719432
46159.789228,999,1312.198465
43196.227272,999,1345.101435
54805.067091,999,1377.314468
52964.753108,999,1412.960434
52330.532125,999,1445.158432
58483.459035,999,1480.463463
55280.632076,999,1513.359432
66240.926899,999,1547.316434
60099.00799,999,1579.346434
70109.944839,999,1613.823434
64745.689927,999,1645.356433
67806.116881,999,1679.512432
77711.374734,999,1711.302433
75108.274783,999,1745.535432
74766.269783,999,1777.334433
76018.01674,999,1811.005434
79198.771688,999,1842.779434
74625.684777,999,1877.493432
82584.193622,999,1909.127433
89546.656557,999,1943.570432
91087.411524,999,1977.309433
104563.833328,999,2012.022433
106059.870299,999,2043.762435
108810.114271,999,2078.220433
123727.613056,999,2109.774434
137068.831848,999,2143.318464
143638.460755,999,2174.944469
156629.067551,999,2208.346468
161001.860489,999,2239.586468
166394.654387,999,2273.78847
184988.734077,999,2304.933469
190267.059011,999,2338.614471
216077.03757,999,2369.420469
217546.520545,999,2402.234468
238947.185202,999,2433.8885
243622.335133,999,2467.659468
262094.433784,999,2499.725469
258709.471845,999,2533.032469
266588.338723,999,2564.104471
278010.99254,999,2597.455468
288032.379364,999,2629.63947
289919.625346,999,2662.094468
297098.04624,999,2692.80647
302652.269183,999,2723.494502
321209.860909,999,2756.2675
316827.03798,999,2787.378469
328995.677787,999,2820.484469
322412.913889,999,2851.78947
330755.183792,999,2884.331469
327490.272813,999,2914.870468
340094.586606,999,2947.92547
340893.111591,999,2979.110471
342175.099571,999,3011.446469
344082.02253,999,3042.228468
350621.613426,999,3074.364468
339807.899609,999,3104.826468
351698.803408,999,3138.153467
353713.884379,999,3168.654469
352679.762378,999,3201.881469
358953.99129,999,3235.771468
359757.96928,999,3268.697469
357370.823318,999,3299.157498
360932.250263,999,3332.627499
361511.772258,999,3362.564469
363320.323233,999,3395.89347
361525.772258,999,3426.153471
364112.141221,999,3459.11547
361833.406254,999,3490.161469
365195.746207,999,3523.08647
366881.97419,999,3553.58847
369372.332153,999,3587.032501
368686.363164,999,3617.346469
365893.102201,999,3650.242469
365902.886229,999,3683.684977
369954.528145,999,3720.732977
370756.513135,999,3754.00898
367790.647176,999,3791.876977
