#{"t_start": 1671567953.1977582, "env_id": null}
r,l,t
598.674987,20,86.996997
1197.451975,20,168.961998
1098.336983,20,251.504999
2495.731957,20,331.704998
699.180992,20,414.745998
2196.184962,20,497.239999
1097.98998,20,579.284998
1896.827968,20,661.84224
598.95099,20,741.740333
1098.073981,20,825.370937
399.473995,20,917.020937
1197.97298,20,1008.412695
1596.795968,20,1098.627898
1297.329973,20,1188.261377
1797.184972,20,1278.498274
0,20,1367.457276
1897.198972,20,1456.495845
599.066991,20,1548.912607
1197.772978,20,1638.877609
599.150992,20,1729.409946
1596.97097,20,1819.297949
1596.619966,20,1909.356033
1298.331983,20,1999.273416
1597.575976,20,2089.433416
598.803988,20,2179.460025
598.821988,20,2269.715459
1098.189982,20,2359.837497
2096.154962,20,2449.847651
1897.282973,20,2539.841586
299.706997,20,2629.282586
1397.903979,20,2721.35568
1696.748967,20,2810.635408
998.103981,20,2903.522409
299.706997,20,2996.380976
2396.476965,20,3087.516977
0,20,3179.318977
2295.946959,20,3272.22676
399.473995,20,3364.401761
1896.151962,20,3456.053661
1197.741977,20,3541.793693
0,20,3623.252662
0,20,3707.089661
1896.00496,20,3790.740662
1197.780978,20,3873.499662
499.122991,20,3957.907664
1696.748967,20,4041.543661
1796.262963,20,4124.314661
1097.752978,20,4206.357662
998.120981,20,4288.863662
1696.903969,20,4373.706661
1696.748967,20,4458.766662
598.629986,20,4542.077662
2994.498945,20,4624.122664
598.674987,20,4707.887662
2295.570956,20,4791.657662
598.821988,20,4875.631722
0,20,4961.301723
1197.625976,20,5046.402723
0,20,5125.958724
1298.263983,20,5203.052722
599.066991,20,5280.543722
0,20,5357.231721
599.066991,20,5434.893721
2195.903959,20,5512.283724
499.122991,20,5590.010721
1198.00198,20,5666.506721
2096.465965,20,5745.331724
898.528985,20,5823.409722
599.066991,20,5901.689722
598.803988,20,5979.332721
598.803988,20,6057.727723
1097.944979,20,6136.116721
1796.255963,20,6212.734723
1298.331983,20,6290.422754
2495.130951,20,6368.644722
599.066991,20,6445.239722
599.150992,20,6521.974721
998.295983,20,6599.463723
1197.433974,20,6678.733722
2894.598946,20,6756.544759
1098.189982,20,6835.98076
998.120981,20,6910.796759
898.528985,20,6989.24476
1197.696977,20,7066.820762
0,20,7143.00576
998.120981,20,7219.448855
1098.336983,20,7295.634855
598.674987,20,7372.166855
1796.108961,20,7451.146854
499.122991,20,7528.624855
1696.741967,20,7606.338855
1796.942969,20,7682.485867
599.066991,20,7760.541867
1497.159972,20,7838.557868
598.803988,20,7916.788866
1796.384964,20,7994.413867
1197.825978,20,8072.742869
898.510985,20,8151.233867
1397.203972,20,8228.542869
598.674987,20,8312.249867
499.122991,20,8394.406867
2295.863959,20,8477.569868
599.066991,20,8564.994868
