#{"t_start": 1671673699.9945252, "env_id": null}
r,l,t
1124682.474525,2999,11105.819558
1122102.652577,2999,11197.028587
1122807.566566,2999,11284.621556
1124676.474525,2999,11375.43312
1123197.660557,2999,11462.368089
1122386.258573,2999,11549.86809
1124187.609536,2999,11639.739092
1122799.566566,2999,11726.87812
1123574.837548,2999,11817.377091
1124676.474525,2999,11904.840129
1125672.184502,2999,11994.43212
1123587.837548,2999,12084.497122
1123190.660557,2999,12176.425088
1126661.098481,2999,12263.41309
1127063.345473,2999,12355.776649
1127058.345473,2999,12445.13062
1125176.329513,2999,12535.584617
1122789.566566,2999,12623.811618
1125170.329513,2999,12715.237618
1123897.297543,2999,12803.544649
1124683.474525,2999,12891.834224
1122803.566566,2999,12983.243193
1124176.609536,2999,13071.095192
1124179.609536,2999,13162.552226
1122818.566566,2999,13249.943345
1126368.728487,2999,13341.586347
1123897.297543,2999,13431.451346
1122792.566566,2999,13524.030343
1124684.474525,2999,13612.312344
1125179.329513,2999,13703.583344
1123200.660557,2999,13791.448344
1122806.566566,2999,13882.029346
1124673.474525,2999,13971.086374
1128455.104441,2999,14058.217346
1127853.432454,2999,14150.473343
1123194.660557,2999,14239.207374
1125673.184502,2999,14329.800374
1126373.728487,2999,14417.743344
1126667.098481,2999,14508.883345
1126671.098481,2999,14597.287346
1126071.265493,2999,14689.828374
1125179.329513,2999,14777.733375
1124680.474525,2999,14868.330377
1126055.265493,2999,14957.113346
1125668.184502,2999,15048.507374
1125171.329513,2999,15137.838375
1124679.474525,2999,15228.686344
1126662.098481,2999,15315.648375
1128450.104441,2999,15404.285342
1126656.098481,2999,15495.756375
1124686.474525,2999,15584.219343
1125174.329513,2999,15677.427345
1126669.098481,2999,15766.235343
1125678.184502,2999,15858.199345
1126369.728487,2999,15945.878344
1127054.345473,2999,16037.597345
1127856.432454,2999,16125.382345
1126657.098481,2999,16216.997344
1123886.297543,2999,16304.664345
1126679.098481,2999,16396.715344
1125182.329513,2999,16484.598374
1127059.345473,2999,16572.595346
1126371.728487,2999,16663.735343
1124179.609536,2999,16752.972344
1126068.265493,2999,16843.518375
1127853.432454,2999,16935.485374
1127067.345473,2999,17027.200373
1125668.184502,2999,17118.647418
1127062.345473,2999,17210.658388
1127054.345473,2999,17298.570418
1126670.098481,2999,17390.087387
1126364.728487,2999,17477.482389
1124676.474525,2999,17572.412388
1125170.329513,2999,17660.808388
1126672.098481,2999,17752.351418
1126070.265493,2999,17841.005418
1126656.098481,2999,17929.151386
1127356.689467,2999,18020.511419
1127364.689467,2999,18109.692507
1126369.728487,2999,18201.495503
1127859.432454,2999,18289.935506
1125167.329513,2999,18381.377503
1127356.689467,2999,18469.780504
1125669.184502,2999,18560.647503
1126382.728487,2999,18651.114506
1124672.474525,2999,18743.085536
1125680.184502,2999,18831.611503
1127068.345473,2999,18922.701506
1124677.474525,2999,19010.950534
1127856.432454,2999,19098.732504
1125681.184502,2999,19189.818503
1127063.345473,2999,19280.359534
1126065.265493,2999,19373.846503
1126079.265493,2999,19461.381535
1128851.146431,2999,19552.329504
1126065.265493,2999,19640.637535
1127855.432454,2999,19733.430525
1126066.265493,2999,19820.232505
1126072.265493,2999,19912.301504
1126663.098481,2999,20000.226534
1127058.345473,2999,20091.399536
1126370.728487,2999,20179.673534
1126067.265493,2999,20271.561503
1126661.098481,2999,20358.744534
1128847.146431,2999,20447.381504
1126673.098481,2999,20539.134505
1126374.728487,2999,20626.471534
1126665.098481,2999,20721.375504
1127854.432454,2999,20809.971534
1126664.098481,2999,20900.763534
1127855.432454,2999,20989.16302
1127852.432454,2999,21081.359019
1127859.432454,2999,21170.640049
1127067.345473,2999,21262.585021
1128454.104441,2999,21350.191022
1127360.689467,2999,21441.22705
1128446.104441,2999,21528.457022
1127055.345473,2999,21616.62302
1127362.689467,2999,21707.72002
1126377.728487,2999,21796.391054
1127856.432454,2999,21888.004577
1127368.689467,2999,21976.231549
1127363.689467,2999,22069.217577
1126670.098481,2999,22156.259578
1127856.432454,2999,22248.677576
1127866.432454,2999,22336.794576
1128447.104441,2999,22427.935586
1125172.329513,2999,22515.898579
1126374.728487,2999,22607.188547
1125171.329513,2999,22695.655572
1128852.146431,2999,22787.96655
1128843.146431,2999,22876.691589
1126664.098481,2999,22965.863619
1127066.345473,2999,23058.048589
1128449.104441,2999,23145.946589
1127361.689467,2999,23239.034589
1127350.689467,2999,23326.845619
1127067.345473,2999,23417.594619
1129247.302423,2999,23505.967587
1127853.432454,2999,23597.788589
1126366.728487,2999,23684.684588
1126674.098481,2999,23777.843589
1128449.104441,2999,23864.72359
1128454.104441,2999,23956.331619
1127359.689467,2999,24044.557619
1127853.432454,2999,24132.736626
1124669.474525,2999,24224.902619
1128848.146431,2999,24316.368592
1128846.146431,2999,24406.755622
1128453.104441,2999,24494.348622
1126367.728487,2999,24585.18462
1127354.689467,2999,24673.463588
1126664.098481,2999,24766.387256
1126372.728487,2999,24853.614254
1128449.104441,2999,24945.906285
1127850.432454,2999,25033.651285
1126069.265493,2999,25125.590257
1128455.104441,2999,25214.624254
1128848.146431,2999,25306.632287
1127851.432454,2999,25395.589285
1127848.432454,2999,25483.060283
1127361.689467,2999,25574.984256
1127859.432454,2999,25662.802255
1127058.345473,2999,25754.350285
1127851.432454,2999,25842.307288
1127064.345473,2999,25933.541257
1128851.146431,2999,26022.255257
1128454.104441,2999,26113.354291
1126070.265493,2999,26201.312254
1127364.689467,2999,26293.000287
1125669.184502,2999,26379.479258
1127355.689467,2999,26472.193255
1127358.689467,2999,26562.235254
1127857.432454,2999,26650.345255
1127357.689467,2999,26742.650285
1127366.689467,2999,26831.279291
1128453.104441,2999,26935.911254
1126666.098481,2999,27025.225284
1126376.728487,2999,27116.076257
1128455.104441,2999,27204.742255
1127859.432454,2999,27296.624286
1127066.345473,2999,27382.285253
1127856.432454,2999,27473.240284
1129242.302423,2999,27562.369289
1127065.345473,2999,27653.923326
1127359.689467,2999,27743.103294
1128847.146431,2999,27835.737325
1128450.104441,2999,27926.152294
1128848.146431,2999,28014.472296
1126072.265493,2999,28106.051294
1127361.689467,2999,28192.934325
1128451.104441,2999,28284.450297
1127368.689467,2999,28373.234326
1127360.689467,2999,28465.173295
1127858.432454,2999,28553.453331
1127365.689467,2999,28644.043942
1127077.345473,2999,28731.542909
1125679.184502,2999,28822.835946
1128849.146431,2999,28910.758908
1127064.345473,2999,29003.32991
1127851.432454,2999,29090.975941
1126666.098481,2999,29179.14994
1128843.146431,2999,29270.536939
1128854.146431,2999,29359.898911
1128448.104441,2999,29451.619911
1128844.146431,2999,29541.280935
1129242.302423,2999,29633.132936
1127359.689467,2999,29721.378968
1128445.104441,2999,29813.333969
1128452.104441,2999,29900.936966
1127363.689467,2999,29991.840935
1128449.104441,2999,30083.321936
1128849.146431,2999,30175.477968
1129242.302423,2999,30263.030966
1128849.146431,2999,30354.152937
1127855.432454,2999,30442.398936
1129247.302423,2999,30530.111967
1127855.432454,2999,30621.840936
1127851.432454,2999,30710.060935
1127854.432454,2999,30801.901937
1128845.146431,2999,30890.550967
1128455.104441,2999,30983.172966
1127360.689467,2999,31071.640936
1127365.689467,2999,31162.949967
1128447.104441,2999,31251.652967
1128844.146431,2999,31343.896955
1128843.146431,2999,31432.033937
1127051.345473,2999,31526.280351
1127853.432454,2999,31618.118383
1127060.345473,2999,31705.250354
1127852.432454,2999,31798.032351
1127855.432454,2999,31888.019383
1128450.104441,2999,31981.026355
1127352.689467,2999,32071.143352
1127059.345473,2999,32164.458352
1129641.460415,2999,32253.259355
1127065.345473,2999,32345.594383
1126074.265493,2999,32434.728354
1128850.146431,2999,32526.555352
1128450.104441,2999,32613.193353
1127360.689467,2999,32704.131382
1128452.104441,2999,32792.974355
1127854.432454,2999,32884.489381
1126669.098481,2999,32973.084353
1128451.104441,2999,33061.474355
1127857.432454,2999,33153.786383
1127845.432454,2999,33242.562352
1128847.146431,2999,33335.175354
1129244.302423,2999,33423.623383
1129641.460415,2999,33514.337353
1127062.345473,2999,33602.101383
1126671.098481,2999,33696.466352
1128845.146431,2999,33784.854383
1127862.432454,2999,33877.080382
1128844.146431,2999,33965.532355
1128850.146431,2999,34056.494353
1127350.689467,2999,34143.558353
1128455.104441,2999,34230.617385
1129243.302423,2999,34322.172353
1126069.265493,2999,34412.100353
1127064.345473,2999,34502.762386
1129243.302423,2999,34591.317384
1128453.104441,2999,34683.349355
1127861.432454,2999,34772.550353
1129641.460415,2999,34864.351383
1127855.432454,2999,34953.646353
1125670.184502,2999,35045.480384
1128450.104441,2999,35133.866353
1128847.146431,2999,35230.354354
1127851.432454,2999,35318.681385
1127848.432454,2999,35410.127352
1127859.432454,2999,35503.600354
1127059.345473,2999,35595.612353
