#{"t_start": 1671673699.9945252, "env_id": null}
r,l,t
125946.436114,2999,93.802034
132144.342003,2999,179.305073
120455.616206,2999,274.227032
115703.654297,2999,365.479035
125036.00212,2999,459.451033
126533.920109,2999,551.708034
131283.754028,2999,646.830033
134666.083991,2999,740.428066
140653.419884,2999,834.358616
114153.183322,2999,926.829648
127370.521105,2999,1023.178616
124239.932149,2999,1115.701618
137010.397914,2999,1211.543618
133850.390014,2999,1307.456294
129322.95407,2999,1401.406294
123039.066151,2999,1497.809294
134496.204982,2999,1587.945323
138836.367934,2999,1683.919291
134730.508995,2999,1776.302334
135614.853999,2999,1871.281357
143395.554896,2999,1964.666333
171155.453425,2999,2058.686332
179160.836358,2999,2151.391333
201159.254023,2999,2247.752361
239593.575476,2999,2340.610361
279828.683787,2999,2437.525331
331875.173922,2999,2531.554363
376196.146251,2999,2630.262333
455286.548955,2999,2723.41433
536598.672767,2999,2816.598361
710289.519885,2999,2909.815353
785635.776688,2999,3000.96033
886676.218972,2999,3096.151361
937159.03612,2999,3190.567334
974333.622476,2999,3285.979481
993919.924089,2999,3379.360481
1027307.188442,2999,3473.430481
1038034.763228,2999,3566.904451
1044231.937089,2999,3661.693462
1063731.718677,2999,3753.941461
1066333.357634,2999,3849.785461
1070720.519555,2999,3940.213463
1074075.480495,2999,4026.72646
1080065.053381,2999,4116.087463
1080827.856369,2999,4203.50846
1084930.99839,2999,4292.477493
1094383.912109,2999,4380.583491
1090180.120191,2999,4471.028491
1097340.487045,2999,4557.731463
1101145.068971,2999,4647.730524
1098861.593016,2999,4734.467492
1101729.98596,2999,4824.705492
1103215.576936,2999,4914.277525
1102939.97394,2999,5005.651492
1105501.758898,2999,5092.542491
1104920.848908,2999,5182.858493
1111385.751788,2999,5269.562523
1111185.403794,2999,5356.775493
1107201.902869,2999,5447.491493
1113576.121741,2999,5534.645493
1104909.848908,2999,5624.624523
1109487.577826,2999,5712.312493
1107404.543865,2999,5801.199494
1114550.074721,2999,5889.362492
1108779.878839,2999,5979.482493
1111860.656777,2999,6067.394532
1115435.480705,2999,6157.992493
1116220.608686,2999,6247.696494
1113952.410734,2999,6346.275494
1118605.848638,2999,6440.124522
1114854.577716,2999,6529.493531
1113157.98975,2999,6621.25453
1115442.480705,2999,6713.368563
1114838.577716,2999,6807.601533
1113945.410734,2999,6897.302532
1116641.924679,2999,6988.832532
1116933.473675,2999,7077.637562
1118022.808648,2999,7170.587533
1114537.074721,2999,7257.719531
1114860.577716,2999,7350.096532
1116660.924679,2999,7441.024531
1119115.00363,2999,7531.630562
1116264.608686,2999,7621.278534
1119121.00363,2999,7713.661562
1118017.808648,2999,7801.270563
1119128.00363,2999,7891.717563
1121221.360594,2999,7985.474534
1120014.325613,2999,8073.751532
1118624.848638,2999,8165.208564
1120819.054601,2999,8253.849556
1118033.808648,2999,8343.704591
1121202.360594,2999,8431.410556
1120029.325613,2999,8524.278558
1122102.652577,2999,8612.227586
1122085.652577,2999,8701.161556
1120413.749607,2999,8787.444592
1122095.652577,2999,8878.230556
1123595.837548,2999,8965.843558
1120804.054601,2999,9051.951557
1124686.474525,2999,9142.526556
1123196.660557,2999,9229.142556
1121196.360594,2999,9319.049557
1122114.652577,2999,9406.338559
1125682.184502,2999,9496.360558
1121208.360594,2999,9583.104558
1123888.297543,2999,9672.972588
1122384.258573,2999,9761.574555
1123885.297543,2999,9856.087556
1119120.00363,2999,9943.900559
1123187.660557,2999,10036.104555
1121204.360594,2999,10122.919556
1121802.191582,2999,10214.004556
1124673.474525,2999,10301.593556
1124183.609536,2999,10390.228557
1122789.566566,2999,10481.106586
1121503.735587,2999,10569.088555
1121802.191582,2999,10659.093557
1125188.329513,2999,10747.355555
1123588.837548,2999,10837.81156
1122400.258573,2999,10927.564593
1126071.265493,2999,11018.083588
