#{"t_start": 1671643063.829348, "env_id": null}
r,l,t
2695.02495,50,7.259858
1597.099971,50,9.000857
3793.797938,50,11.156856
499.122991,50,13.273857
1796.403964,50,15.233858
3693.222932,50,16.979857
1398.191982,50,18.871886
4192.627926,50,20.894859
1896.386964,50,22.936856
1797.03997,50,24.528889
2096.091961,50,26.507857
2595.00195,50,28.513857
3493.124931,50,30.738856
898.336983,50,32.371858
2495.631956,50,34.090856
4391.627916,50,36.028857
1197.754978,50,37.889857
3094.163942,50,40.054857
3792.899929,50,41.976895
1297.98498,50,43.774857
2296.04696,50,45.690857
5190.301903,50,47.457856
898.510985,50,49.259856
2895.461955,50,50.937855
2794.555946,50,52.684856
1696.748967,50,54.557858
1397.780978,50,56.577886
2196.330963,50,58.392857
1497.159972,50,60.213857
1996.308963,50,62.164888
3594.068941,50,64.148856
3693.365934,50,66.04286
1897.00697,50,67.919887
3892.503925,50,69.760858
3293.936939,50,71.725856
3194.294943,50,73.858857
3493.634936,50,75.902855
1097.797978,50,77.669857
4990.447904,50,79.376857
1597.131971,50,81.256857
1597.071971,50,85.774856
3494.02794,50,87.525857
1597.170972,50,89.519856
2695.294953,50,91.438856
2495.760958,50,92.925858
2495.857959,50,94.788859
2696.068961,50,96.815856
1697.140971,50,98.739856
1097.944979,50,100.469858
2994.478945,50,102.343858
2096.696967,50,104.303858
1298.247982,50,106.477857
599.066991,50,108.343856
1197.304973,50,110.011858
1597.299973,50,112.067887
1497.724977,50,113.871861
2695.03695,50,115.744855
3992.868929,50,117.603889
4591.362914,50,119.590859
2995.407954,50,122.057856
0,50,123.760857
3893.231932,50,125.594857
1597.099971,50,127.384888
5090.552906,50,129.289857
1697.095971,50,131.494858
1198.369984,50,133.823858
5091.261913,50,135.817857
5589.427894,50,137.855856
3793.179932,50,139.923857
2195.572956,50,141.955856
2495.190952,50,143.720856
2795.04095,50,145.516855
4091.750918,50,147.437856
2894.219942,50,149.818856
4192.03592,50,151.863855
2894.451945,50,153.955856
2395.929959,50,156.099856
2496.065961,50,158.273887
1197.754978,50,160.219857
2295.487955,50,162.020888
2894.464945,50,164.047858
1298.131981,50,169.012856
1497.01197,50,171.124856
3294.169942,50,172.926858
2995.438954,50,174.843858
3294.169942,50,176.902855
